,Lat,Lng,Price,Tempature (C),ZipCode
2116,42.04,-91.68,84600.0,4.62,52233
2117,39.97,-76.28,173400.0,3.81,17584
2118,42.17,-71.36,259900.0,-0.53,02054
2119,45.44,-93.84,209200.0,4.12,55308
2120,40.27,-81.59,67600.0,2.47,43832
2121,32.12,-81.31,98000.0,9.26,31302
2122,39.86,-82.62,127700.0,1.23,43105
2123,40.04,-76.43,161100.0,3.89,17554
2124,42.54,-73.71,155400.0,-3.59,12033
2125,42.38,-85.44,170300.0,1.2,49083
2126,40.05,-75.42,196600.0,2.24,19333
2127,46.15,-123.93,234300.0,8.0,97146
2128,40.48,-76.89,145200.0,3.19,17032
2129,30.29,-97.72,376300.0,11.42,78722
2130,34.65,-120.17,490900.0,14.05,93463
2131,41.56,-83.99,113900.0,0.62,43515
2132,44.0,-116.91,118700.0,7.33,83619
2133,34.39,-83.67,116000.0,8.03,30554
2134,39.78,-77.36,175200.0,5.63,17320
2135,34.95,-82.09,67000.0,9.24,29385
2136,41.83,-90.52,133100.0,3.86,52742
2137,35.67,-118.46,115500.0,8.14,93240
2138,41.17,-74.37,197100.0,0.07,07421
2139,43.49,-70.7,192300.0,-1.58,04002
2140,28.69,-99.83,65800.0,13.58,78839
2141,36.43,-119.09,129300.0,12.29,93286
2142,39.25,-86.62,118200.0,2.72,47429
2143,42.0,-70.84,230400.0,-0.8,02338
2144,40.46,-80.26,117300.0,1.99,15126
2145,42.65,-78.88,147200.0,1.0,14057
2146,45.45,-94.44,175200.0,4.18,56320
2147,39.74,-76.68,159400.0,5.39,17349
2148,43.84,-121.58,285600.0,5.14,97707
2149,42.75,-71.58,287900.0,-1.0,03049
2150,41.29,-95.94,70800.0,5.74,68110
2151,40.61,-82.52,107100.0,0.67,44813
2152,39.36,-85.97,74200.0,2.82,46124
2153,39.78,-76.75,155300.0,5.39,17327
2154,44.31,-71.78,131600.0,-3.52,03561
2155,43.29,-70.86,207600.0,-1.43,03901
2156,43.05,-88.4,260100.0,2.9,53018
