,Lat,Lng,Price,Tempature (C),ZipCode
1464,37.76,-97.43,226300.0,8.0,67205
1465,33.94,-118.36,509600.0,16.06,90304
1466,29.96,-82.12,110900.0,13.69,32091
1467,39.16,-108.72,233100.0,2.0,81521
1468,32.3,-95.19,205500.0,8.6,75707
1469,40.79,-73.69,1313800.0,1.66,11030
1470,37.95,-77.47,182400.0,11.71,22546
1471,30.12,-91.95,179000.0,9.32,70518
1472,41.2,-73.73,560200.0,0.67,10549
1473,44.94,-93.66,310800.0,3.15,55364
1474,39.97,-75.06,133000.0,4.44,08110
1475,41.48,-81.93,213700.0,0.61,44140
1476,39.17,-94.53,111500.0,5.65,64117
1477,38.69,-85.8,110200.0,2.07,47170
1478,35.4,-78.54,156100.0,10.46,27504
1479,30.12,-97.74,235900.0,8.14,78747
1480,37.48,-122.45,1078900.0,11.99,94019
1481,35.6,-84.46,118000.0,3.52,37874
1482,21.98,-159.37,501600.0,20.81,96766
1483,41.23,-80.5,49400.0,0.15,16146
1484,47.2,-122.57,368200.0,6.79,98467
1485,42.52,-113.79,165100.0,1.66,83318
1486,40.85,-96.63,155000.0,7.41,68507
1487,33.84,-118.08,500300.0,15.81,90715
1488,40.7,-80.04,262100.0,1.01,16046
1489,29.7,-95.46,517800.0,9.91,77401
1490,38.22,-85.74,140100.0,1.73,40217
1491,39.83,-105.04,276900.0,14.92,80030
1492,31.49,-110.22,199200.0,15.74,85650
1493,39.0,-77.31,851300.0,10.28,22066
1494,39.17,-76.85,306900.0,9.13,21046
1495,34.19,-118.23,972000.0,15.66,91208
1496,34.76,-82.04,132500.0,10.44,29388
1497,39.52,-78.09,177700.0,9.5,25427
1498,45.65,-110.56,218400.0,1.47,59047
1499,47.48,-121.76,482800.0,6.71,98045
1500,34.65,-83.52,176500.0,9.03,30523
1501,40.7,-73.59,354400.0,1.72,11553
1502,39.85,-86.2,137000.0,0.78,46228
1503,41.18,-75.39,81000.0,0.36,18466
1504,35.35,-82.53,239700.0,11.59,28791
1505,37.24,-96.98,83500.0,9.49,67156
1506,41.36,-71.98,261700.0,1.1,06355
1507,27.67,-82.71,532600.0,15.62,33715
1508,39.03,-94.66,230400.0,5.66,66205
1509,30.85,-86.2,118000.0,11.2,32433
1510,41.27,-96.0,211200.0,6.82,68132
1511,35.12,-81.87,132100.0,10.25,29323
1512,32.65,-96.56,136400.0,9.39,75159
1513,40.68,-82.53,126000.0,-0.43,44904
1514,40.32,-75.35,249200.0,2.76,18969
1515,39.02,-104.69,422200.0,14.15,80908
1516,41.24,-89.93,49000.0,4.27,61443
1517,36.73,-120.07,220400.0,10.2,93630
1518,37.98,-84.58,185200.0,2.0,40514
1519,39.78,-75.98,228200.0,5.01,19363
1520,40.36,-74.98,427700.0,3.14,18938
1521,35.35,-81.1,154100.0,9.92,28164
1522,34.42,-117.41,266500.0,14.0,92344
1523,39.11,-77.01,405700.0,9.73,20905
