,Lat,Lng,Price,Tempature (C),ZipCode
723,32.75,-117.16,576700,15.54,92103
736,37.77,-122.44,1397000,12.08,94117
742,34.23,-118.45,403000,14.94,91402
743,34.18,-118.62,471200,15.93,91367
745,32.72,-117.0,370800,15.5,91977
748,38.5,-121.53,320300,13.25,95831
752,36.86,-119.77,185000,13.32,93720
755,33.98,-117.34,245600,15.67,92507
756,40.63,-122.35,192900,11.45,96003
762,34.66,-120.45,233400,13.2,93436
772,38.0,-121.32,179700,13.37,95207
775,33.83,-118.38,906400,15.69,90277
787,33.84,-117.95,387400,15.84,92801
788,37.78,-122.49,1275400,12.08,94121
793,37.01,-121.58,576600,12.75,95020
796,34.03,-117.94,414600,15.84,91744
797,34.07,-118.47,1075400,15.77,90049
806,34.14,-117.26,224500,14.88,92404
807,33.74,-117.82,392600,15.95,92780
815,34.04,-117.76,336700,15.7,91766
819,34.1,-117.97,394300,15.84,91706
820,34.13,-117.21,210400,14.88,92346
824,33.72,-116.38,276200,21.61,92260
828,38.55,-121.74,445000,13.22,95616
842,37.03,-122.12,792400,12.55,95060
843,34.2,-118.49,522300,14.94,91406
850,38.48,-121.4,221300,13.0,95828
853,37.85,-122.22,926500,12.14,94611
858,34.07,-118.3,456400,15.81,90020
864,33.76,-118.13,753300,15.82,90803
871,34.1,-118.33,719700,15.74,90028
872,38.69,-121.27,266600,12.22,95610
877,33.84,-118.35,635100,15.87,90503
881,33.78,-118.18,377500,15.81,90813
883,38.66,-121.26,316700,12.22,95628
903,34.03,-117.29,228500,15.25,92324
906,37.68,-121.76,591200,12.46,94550
907,37.92,-121.31,156000,13.28,95206
912,37.72,-122.16,571500,12.15,94577
914,37.78,-122.42,1119000,12.15,94102
915,37.78,-122.46,1425100,12.08,94118
923,37.7,-122.08,602400,12.15,94546
925,38.48,-122.75,346300,11.76,95403
933,33.95,-116.97,278000,17.0,92223
935,33.61,-117.64,589600,16.25,92692
945,32.71,-117.05,397400,15.5,92114
946,38.76,-121.29,276600,12.0,95678
966,33.16,-117.1,420200,15.73,92026
967,32.97,-117.12,357600,15.67,92129
968,34.17,-118.37,567300,15.72,91601
973,34.06,-117.67,306900,15.78,91762
978,36.71,-121.64,343500,12.78,93906
979,34.07,-118.09,526800,15.55,91770
990,33.82,-118.04,474600,15.82,90630
1001,33.12,-117.19,454700,15.66,92078
1003,34.2,-118.45,425500,14.94,91405
1006,33.97,-118.27,363600,15.81,90003
1009,33.96,-118.31,424600,15.81,90047
1016,34.24,-118.48,330500,14.94,91343
1019,34.03,-118.32,614800,16.0,90018
1021,34.03,-118.35,600500,16.0,90016
1028,37.54,-122.3,1124900,12.1,94403
1031,32.78,-117.02,421800,15.54,91942
1032,33.89,-118.3,432000,15.81,90247
1033,34.12,-117.9,385100,15.84,91702
1037,35.64,-120.7,334300,13.54,93446
1042,36.36,-119.3,135500,12.85,93291
1050,34.22,-117.39,227200,15.09,92407
1053,34.22,-118.61,323800,15.0,91304
1056,33.99,-118.33,556600,15.81,90043
1058,33.87,-117.85,414900,16.0,92870
1059,37.76,-122.43,1550100,12.08,94114
1065,37.57,-122.37,1528200,12.09,94010
1069,37.26,-121.92,861900,12.09,95124
1076,38.11,-122.25,306100,12.08,94590
1078,34.02,-118.16,413000,15.82,90022
1086,33.93,-117.41,319300,16.09,92504
1093,34.0,-118.29,429200,15.81,90037
1102,33.96,-118.39,932300,15.71,90045
1106,34.03,-117.62,317200,15.81,91761
1113,34.6,-118.23,342500,11.01,93551
1117,32.8,-117.17,440200,15.54,92111
1124,32.76,-117.12,542600,15.54,92116
1128,33.14,-117.05,319400,15.67,92027
1129,34.17,-119.17,321500,15.99,93033
1136,33.87,-118.37,772000,15.69,90278
1138,34.06,-118.3,617400,15.81,90005
1147,34.28,-118.5,478700,15.0,91344
1161,34.48,-117.41,174200,14.01,92392
1164,33.76,-116.34,276200,21.62,92211
1180,33.37,-117.23,469100,16.09,92028
1183,37.62,-122.43,803100,12.08,94066
1184,33.61,-117.66,471800,16.25,92691
1191,38.45,-122.69,515500,12.22,95404
1192,37.52,-121.93,752400,12.09,94539
1193,37.81,-121.21,369300,13.29,95336
1195,33.74,-117.02,194200,16.8,92545
1198,33.44,-117.62,722100,16.38,92672
1205,33.99,-118.09,428400,16.0,90660
1209,32.67,-117.09,376800,15.25,91950
1214,34.06,-118.28,466100,15.81,90057
1222,33.1,-117.26,495500,15.66,92009
1223,33.91,-117.79,485800,16.06,92886
1226,34.0,-117.97,366100,15.84,91745
1236,33.65,-117.59,421300,16.25,92688
1241,37.81,-122.24,828300,12.14,94610
1249,38.35,-122.69,332400,12.44,94928
1262,37.78,-122.22,520100,12.14,94601
1264,32.98,-117.04,514800,15.54,92064
1270,34.01,-117.81,361600,15.84,91765
1273,37.67,-121.88,747200,12.43,94566
